"cellname" "hg19" "mm10" "p_hg19" "p_mm10" "tt" "class"
"1" "Arc_well_A20_GM12878_fixed_r0c1_yes_A1_Good_S2.bed" 484 385590 0.00125364567414537 0.998746354325855 386074 "Mouse"
"2" "Arc_well_A20_GM12878_fixed_r0c23_yes_A1_Good_S24.bed" 967 473576 0.00203775000368776 0.997962249996312 474543 "Mouse"
"3" "Arc_well_A20_GM12878_fixed_r0c28_yes_A2_Good_S29.bed" 681 375194 0.00181177253076156 0.998188227469238 375875 "Mouse"
"4" "Arc_well_A20_GM12878_fixed_r0c29_yes_A2_Good_S30.bed" 751 590079 0.00127109320786013 0.99872890679214 590830 "Mouse"
"5" "Arc_well_A20_GM12878_fixed_r0c31_yes_A2_Good_S32.bed" 251709 389 0.998456949281629 0.00154305071837143 252098 "Human"
"6" "Arc_well_A20_GM12878_fixed_r0c36_yes_A1_Good_S37.bed" 679 374088 0.00181179239367394 0.998188207606326 374767 "Mouse"
"7" "Arc_well_A20_GM12878_fixed_r0c39_yes_A1_Good_S40.bed" 77506 427863 0.153365164859736 0.846634835140264 505369 "Collision"
"8" "Arc_well_A20_GM12878_fixed_r0c44_yes_A1_Good_S45.bed" 251043 574 0.997718755092065 0.00228124490793547 251617 "Human"
"9" "Arc_well_A20_GM12878_fixed_r0c4_yes_A1_Good_S5.bed" 2347 576088 0.00405749997838997 0.99594250002161 578435 "Mouse"
"10" "Arc_well_A20_GM12878_fixed_r0c53_yes_A2_Good_S54.bed" 613 290906 0.00210277889262792 0.997897221107372 291519 "Mouse"
"11" "Arc_well_A20_GM12878_fixed_r0c58_yes_A1_Good_S59.bed" 748 495618 0.00150695253099527 0.998493047469005 496366 "Mouse"
"12" "Arc_well_A20_GM12878_fixed_r0c60_yes_A1_Good_S61.bed" 750508 1028 0.998632134721424 0.00136786527857614 751536 "Human"
"13" "Arc_well_A20_GM12878_fixed_r0c61_yes_A1_Good_S62.bed" 749 451570 0.0016559109831778 0.998344089016822 452319 "Mouse"
"14" "Arc_well_A20_GM12878_fixed_r0c66_yes_A2_Good_S67.bed" 1036 670112 0.00154362376107803 0.998456376238922 671148 "Mouse"
"15" "Arc_well_A20_GM12878_fixed_r0c70_yes_A2_Good_S71.bed" 687 461690 0.00148580054803764 0.998514199451962 462377 "Mouse"
"16" "Arc_well_A20_GM12878_fixed_r10c0_yes_B1_Good_S721.bed" 560602 499311 0.528913222122948 0.471086777877052 1059913 "Collision"
"17" "Arc_well_A20_GM12878_fixed_r10c10_yes_B2_Good_S731.bed" 1432 894061 0.00159911914442659 0.998400880855573 895493 "Mouse"
"18" "Arc_well_A20_GM12878_fixed_r10c11_yes_B2_Good_S732.bed" 683747 1165 0.998299051556988 0.00170094844301166 684912 "Human"
"19" "Arc_well_A20_GM12878_fixed_r10c15_yes_B2_Good_S736.bed" 1463 755889 0.001931730555937 0.998068269444063 757352 "Mouse"
"20" "Arc_well_A20_GM12878_fixed_r10c16_yes_B2_Good_S737.bed" 1451 711837 0.00203424142842723 0.997965758571573 713288 "Mouse"
"21" "Arc_well_A20_GM12878_fixed_r10c18_yes_B1_Good_S739.bed" 206275 399 0.998069423343043 0.00193057665695733 206674 "Human"
"22" "Arc_well_A20_GM12878_fixed_r10c25_yes_B1_Good_S746.bed" 1341 784544 0.00170635652799074 0.998293643472009 785885 "Mouse"
"23" "Arc_well_A20_GM12878_fixed_r10c26_yes_B1_Good_S747.bed" 1275 631447 0.00201510299942155 0.997984897000578 632722 "Mouse"
"24" "Arc_well_A20_GM12878_fixed_r10c28_yes_B2_Good_S749.bed" 1598 783219 0.00203614345764681 0.997963856542353 784817 "Mouse"
"25" "Arc_well_A20_GM12878_fixed_r10c29_yes_B2_Good_S750.bed" 1644 563198 0.00291054843655394 0.997089451563446 564842 "Mouse"
"26" "Arc_well_A20_GM12878_fixed_r10c31_yes_B2_Good_S752.bed" 184842 542 0.997076338842619 0.00292366115738144 185384 "Human"
"27" "Arc_well_A20_GM12878_fixed_r10c34_yes_B2_Good_S755.bed" 1239 604206 0.0020464286599113 0.997953571340089 605445 "Mouse"
"28" "Arc_well_A20_GM12878_fixed_r10c38_yes_B1_Good_S759.bed" 929478 4044 0.995668018536253 0.00433198146374697 933522 "Human"
"29" "Arc_well_A20_GM12878_fixed_r10c39_yes_B1_Good_S760.bed" 812823 1656 0.997966798407325 0.00203320159267458 814479 "Human"
"30" "Arc_well_A20_GM12878_fixed_r10c41_yes_B1_Good_S762.bed" 782941 1829 0.997669380837698 0.00233061916230233 784770 "Human"
"31" "Arc_well_A20_GM12878_fixed_r10c42_yes_B1_Good_S763.bed" 1427 662989 0.0021477508067235 0.997852249193277 664416 "Mouse"
"32" "Arc_well_A20_GM12878_fixed_r10c44_yes_B1_Good_S765.bed" 916553 1752 0.998092137143977 0.00190786285602278 918305 "Human"
"33" "Arc_well_A20_GM12878_fixed_r10c4_yes_B1_Good_S725.bed" 1343 843355 0.00158991734323983 0.99841008265676 844698 "Mouse"
"34" "Arc_well_A20_GM12878_fixed_r10c50_yes_B2_Good_S771.bed" 537180 1068 0.998015784545414 0.00198421545458599 538248 "Human"
"35" "Arc_well_A20_GM12878_fixed_r10c51_yes_B2_Good_S772.bed" 1246 693004 0.00179474252790781 0.998205257472092 694250 "Mouse"
"36" "Arc_well_A20_GM12878_fixed_r10c52_yes_B2_Good_S773.bed" 400448 1087 0.997292888540227 0.00270711145977312 401535 "Human"
"37" "Arc_well_A20_GM12878_fixed_r10c53_yes_B2_Good_S774.bed" 603367 1330 0.997800551350511 0.00219944864948892 604697 "Human"
"38" "Arc_well_A20_GM12878_fixed_r10c54_yes_B1_Good_S775.bed" 602774 1266 0.997904112310443 0.00209588768955698 604040 "Human"
"39" "Arc_well_A20_GM12878_fixed_r10c55_yes_B1_Good_S776.bed" 1053 584438 0.00179849049771901 0.998201509502281 585491 "Mouse"
"40" "Arc_well_A20_GM12878_fixed_r10c56_yes_B1_Good_S777.bed" 1468 685605 0.00213659974995379 0.997863400250046 687073 "Mouse"
"41" "Arc_well_A20_GM12878_fixed_r10c57_yes_B1_Good_S778.bed" 488477 1069 0.997816344122922 0.00218365587707795 489546 "Human"
"42" "Arc_well_A20_GM12878_fixed_r10c58_yes_B1_Good_S779.bed" 1450 559833 0.0025833670358803 0.99741663296412 561283 "Mouse"
"43" "Arc_well_A20_GM12878_fixed_r10c64_yes_B2_Good_S785.bed" 705679 1249 0.998233200552249 0.0017667994477514 706928 "Human"
"44" "Arc_well_A20_GM12878_fixed_r10c66_yes_B2_Good_S787.bed" 1635 811814 0.00200996005895883 0.997990039941041 813449 "Mouse"
"45" "Arc_well_A20_GM12878_fixed_r10c68_yes_B2_Good_S789.bed" 929995 1545 0.998341456083475 0.00165854391652532 931540 "Human"
"46" "Arc_well_A20_GM12878_fixed_r10c69_yes_B2_Good_S790.bed" 887 328945 0.00268924785951636 0.997310752140484 329832 "Mouse"
"47" "Arc_well_A20_GM12878_fixed_r10c8_yes_B1_Good_S729.bed" 817232 1316 0.998392275101766 0.00160772489823443 818548 "Human"
"48" "Arc_well_A20_GM12878_fixed_r11c11_yes_B2_Good_S804.bed" 975 642809 0.00151448311856151 0.998485516881438 643784 "Mouse"
"49" "Arc_well_A20_GM12878_fixed_r11c14_yes_B2_Good_S807.bed" 1254 889688 0.0014074990291175 0.998592500970882 890942 "Mouse"
"50" "Arc_well_A20_GM12878_fixed_r11c16_yes_B2_Good_S809.bed" 1142 691716 0.00164824538361396 0.998351754616386 692858 "Mouse"
"51" "Arc_well_A20_GM12878_fixed_r11c20_yes_B1_Good_S813.bed" 1521 1001549 0.00151634482139831 0.998483655178602 1003070 "Mouse"
"52" "Arc_well_A20_GM12878_fixed_r11c22_yes_B1_Good_S815.bed" 947617 1771 0.99813458775548 0.00186541224451963 949388 "Human"
"53" "Arc_well_A20_GM12878_fixed_r11c23_yes_B1_Good_S816.bed" 1406 842111 0.00166683066257112 0.998333169337429 843517 "Mouse"
"54" "Arc_well_A20_GM12878_fixed_r11c26_yes_B1_Good_S819.bed" 975 738970 0.0013176655021657 0.998682334497834 739945 "Mouse"
"55" "Arc_well_A20_GM12878_fixed_r11c29_yes_B2_Good_S822.bed" 821850 1579 0.998082409048017 0.0019175909519825 823429 "Human"
"56" "Arc_well_A20_GM12878_fixed_r11c31_yes_B2_Good_S824.bed" 271 110721 0.00244161741386767 0.997558382586132 110992 "Mouse"
"57" "Arc_well_A20_GM12878_fixed_r11c33_yes_B2_Good_S826.bed" 1399 749733 0.0018625221665433 0.998137477833457 751132 "Mouse"
"58" "Arc_well_A20_GM12878_fixed_r11c53_yes_B2_Good_S846.bed" 1153 698832 0.00164717815381758 0.998352821846182 699985 "Mouse"
"59" "Arc_well_A20_GM12878_fixed_r11c56_yes_B1_Good_S849.bed" 823719 1599 0.998062564974955 0.00193743502504489 825318 "Human"
"60" "Arc_well_A20_GM12878_fixed_r11c59_yes_B1_Good_S852.bed" 731 386758 0.00188650516530792 0.998113494834692 387489 "Mouse"
"61" "Arc_well_A20_GM12878_fixed_r11c5_yes_B1_Good_S798.bed" 219971 585678 0.273035776125831 0.726964223874168 805649 "Collision"
"62" "Arc_well_A20_GM12878_fixed_r11c63_yes_B2_Good_S856.bed" 1140 670732 0.00169675176224043 0.99830324823776 671872 "Mouse"
"63" "Arc_well_A20_GM12878_fixed_r11c65_yes_B2_Good_S858.bed" 878918 1536 0.998255445486079 0.00174455451392123 880454 "Human"
"64" "Arc_well_A20_GM12878_fixed_r11c6_yes_B1_Good_S799.bed" 864295 1345 0.998446236310707 0.00155376368929347 865640 "Human"
"65" "Arc_well_A20_GM12878_fixed_r11c9_yes_B2_Good_S802.bed" 792665 1495 0.998117507806991 0.00188249219300897 794160 "Human"
"66" "Arc_well_A20_GM12878_fixed_r12c12_yes_B2_Good_S877.bed" 558793 1156 0.997935526271143 0.00206447372885745 559949 "Human"
"67" "Arc_well_A20_GM12878_fixed_r12c17_yes_B2_Good_S882.bed" 1284 684203 0.00187312086151889 0.998126879138481 685487 "Mouse"
"68" "Arc_well_A20_GM12878_fixed_r12c18_yes_B1_Good_S883.bed" 826923 1227 0.998518384350661 0.00148161564933889 828150 "Human"
"69" "Arc_well_A20_GM12878_fixed_r12c20_yes_B1_Good_S885.bed" 911 139889 0.00647017045454545 0.993529829545455 140800 "Mouse"
"70" "Arc_well_A20_GM12878_fixed_r12c21_yes_B1_Good_S886.bed" 867762 1305 0.998498389652351 0.00150161034764869 869067 "Human"
"71" "Arc_well_A20_GM12878_fixed_r12c24_yes_B1_Good_S889.bed" 912453 1495 0.99836423954098 0.00163576045901955 913948 "Human"
"72" "Arc_well_A20_GM12878_fixed_r12c25_yes_B1_Good_S890.bed" 1258 733749 0.0017115483253901 0.99828845167461 735007 "Mouse"
"73" "Arc_well_A20_GM12878_fixed_r12c26_yes_B1_Good_S891.bed" 1109 650288 0.00170249479196251 0.998297505208038 651397 "Mouse"
"74" "Arc_well_A20_GM12878_fixed_r12c29_yes_B2_Good_S894.bed" 1157 643306 0.00179529313552524 0.998204706864475 644463 "Mouse"
"75" "Arc_well_A20_GM12878_fixed_r12c32_yes_B2_Good_S897.bed" 588532 1220 0.997931333848804 0.00206866615119576 589752 "Human"
"76" "Arc_well_A20_GM12878_fixed_r12c33_yes_B2_Good_S898.bed" 523 218702 0.00238567681605656 0.997614323183943 219225 "Mouse"
"77" "Arc_well_A20_GM12878_fixed_r12c35_yes_B2_Good_S900.bed" 526039 920 0.998254133623299 0.00174586637670103 526959 "Human"
"78" "Arc_well_A20_GM12878_fixed_r12c36_yes_B1_Good_S901.bed" 419833 826 0.998036414292812 0.00196358570718801 420659 "Human"
"79" "Arc_well_A20_GM12878_fixed_r12c37_yes_B1_Good_S902.bed" 832 488216 0.00170126449755443 0.998298735502446 489048 "Mouse"
"80" "Arc_well_A20_GM12878_fixed_r12c38_yes_B1_Good_S903.bed" 498182 1115 0.997766860205449 0.00223313979455114 499297 "Human"
"81" "Arc_well_A20_GM12878_fixed_r12c39_yes_B1_Good_S904.bed" 599029 1272 0.997881063000062 0.00211893699993836 600301 "Human"
"82" "Arc_well_A20_GM12878_fixed_r12c40_yes_B1_Good_S905.bed" 529794 990 0.998134834508953 0.00186516549104721 530784 "Human"
"83" "Arc_well_A20_GM12878_fixed_r12c48_yes_B2_Good_S913.bed" 854 478326 0.00178221127759923 0.998217788722401 479180 "Mouse"
"84" "Arc_well_A20_GM12878_fixed_r12c51_yes_B2_Good_S916.bed" 630 365327 0.00172151372975514 0.998278486270245 365957 "Mouse"
"85" "Arc_well_A20_GM12878_fixed_r12c53_yes_B2_Good_S918.bed" 436536 817 0.998131943761675 0.00186805623832465 437353 "Human"
"86" "Arc_well_A20_GM12878_fixed_r12c56_yes_B1_Good_S921.bed" 584718 1190 0.997968964410795 0.00203103558920513 585908 "Human"
"87" "Arc_well_A20_GM12878_fixed_r12c61_yes_B1_Good_S926.bed" 618 217675 0.00283105734036364 0.997168942659636 218293 "Mouse"
"88" "Arc_well_A20_GM12878_fixed_r12c65_yes_B2_Good_S930.bed" 944 497978 0.00189207932302043 0.99810792067698 498922 "Mouse"
"89" "Arc_well_A20_GM12878_fixed_r12c66_yes_B2_Good_S931.bed" 650290 1248 0.998084532291286 0.00191546770871384 651538 "Human"
"90" "Arc_well_A20_GM12878_fixed_r12c67_yes_B2_Good_S932.bed" 727 414852 0.00174936654643281 0.998250633453567 415579 "Mouse"
"91" "Arc_well_A20_GM12878_fixed_r12c69_yes_B2_Good_S934.bed" 423738 748 0.998237868857866 0.00176213114213425 424486 "Human"
"92" "Arc_well_A20_GM12878_fixed_r12c71_yes_B2_Good_S936.bed" 572509 1029 0.998205873019748 0.0017941269802524 573538 "Human"
"93" "Arc_well_A20_GM12878_fixed_r13c10_yes_B2_Good_S947.bed" 553071 964 0.998260037723249 0.00173996227675147 554035 "Human"
"94" "Arc_well_A20_GM12878_fixed_r13c14_yes_B2_Good_S951.bed" 495602 1103 0.997779366022086 0.00222063397791446 496705 "Human"
"95" "Arc_well_A20_GM12878_fixed_r13c18_yes_B1_Good_S955.bed" 195097 401 0.997948828121004 0.0020511718789962 195498 "Human"
"96" "Arc_well_A20_GM12878_fixed_r13c1_yes_B1_Good_S938.bed" 990 544506 0.00181486207048264 0.998185137929517 545496 "Mouse"
"97" "Arc_well_A20_GM12878_fixed_r13c23_yes_B1_Good_S960.bed" 1362 742505 0.00183097247222958 0.99816902752777 743867 "Mouse"
"98" "Arc_well_A20_GM12878_fixed_r13c35_yes_B2_Good_S972.bed" 580605 1103 0.998103859668425 0.00189614033157529 581708 "Human"
"99" "Arc_well_A20_GM12878_fixed_r13c36_yes_B1_Good_S973.bed" 973 565935 0.00171632786977781 0.998283672130222 566908 "Mouse"
"100" "Arc_well_A20_GM12878_fixed_r13c37_yes_B1_Good_S974.bed" 1117 630679 0.00176797573900436 0.998232024260996 631796 "Mouse"
"101" "Arc_well_A20_GM12878_fixed_r13c38_yes_B1_Good_S975.bed" 612174 1291 0.997895560463922 0.00210443953607785 613465 "Human"
"102" "Arc_well_A20_GM12878_fixed_r13c3_yes_B1_Good_S940.bed" 1191 735120 0.00161752303034995 0.99838247696965 736311 "Mouse"
"103" "Arc_well_A20_GM12878_fixed_r13c42_yes_B1_Good_S979.bed" 1084 549887 0.00196743567265791 0.998032564327342 550971 "Mouse"
"104" "Arc_well_A20_GM12878_fixed_r13c43_yes_B1_Good_S980.bed" 669212 1331 0.99801504154096 0.00198495845903991 670543 "Human"
"105" "Arc_well_A20_GM12878_fixed_r13c44_yes_B1_Good_S981.bed" 468455 952 0.997971909238678 0.00202809076132226 469407 "Human"
"106" "Arc_well_A20_GM12878_fixed_r13c48_yes_B2_Good_S985.bed" 1534 891976 0.00171682465781021 0.99828317534219 893510 "Mouse"
"107" "Arc_well_A20_GM12878_fixed_r13c53_yes_B2_Good_S990.bed" 971 512967 0.00188933295455872 0.998110667045441 513938 "Mouse"
"108" "Arc_well_A20_GM12878_fixed_r13c55_yes_B1_Good_S992.bed" 773 403913 0.00191012291010808 0.998089877089892 404686 "Mouse"
"109" "Arc_well_A20_GM12878_fixed_r13c57_yes_B1_Good_S994.bed" 553 290728 0.00189851037314483 0.998101489626855 291281 "Mouse"
"110" "Arc_well_A20_GM12878_fixed_r13c58_yes_B1_Good_S995.bed" 637 248569 0.00255611823150325 0.997443881768497 249206 "Mouse"
"111" "Arc_well_A20_GM12878_fixed_r13c59_yes_B1_Good_S996.bed" 271377 570 0.997904003353595 0.00209599664640537 271947 "Human"
"112" "Arc_well_A20_GM12878_fixed_r13c62_yes_B1_Good_S999.bed" 963 513225 0.0018728558426101 0.99812714415739 514188 "Mouse"
