"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"TotalReads"	"DupsRemoved"	"ReadsKept"	"MedianBinCount"	"dups_percentage"
"SC242_2_R0C10yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S11_R1_001"	462797	387807	0.16	27	0.897	"kept"	FALSE	0.28	462797	74990	387807	27	0.162036486839802
"SC242_2_R0C13yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S14_R1_001"	746519	635487	0.15	46	0.995	"kept"	FALSE	0.29	746519	111032	635487	46	0.148732986032506
"SC242_2_R0C15yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S16_R1_001"	797864	668307	0.16	48	0.996	"kept"	FALSE	0.28	797864	129557	668307	48	0.162379804076885
"SC242_2_R0C18yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S19_R1_001"	845673	726355	0.14	53	0.921	"kept"	FALSE	0.34	845673	119318	726355	53	0.141092360758828
"SC242_2_R0C21yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S22_R1_001"	698309	601966	0.14	44	0.963	"kept"	FALSE	0.29	698309	96343	601966	44	0.137966143927688
"SC242_2_R0C22yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S23_R1_001"	256790	234982	0.08	17	0.989	"kept"	FALSE	0.29	256790	21808	234982	17	0.0849254254449161
"SC242_2_R0C26yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S27_R1_001"	658113	560426	0.15	41	0.876	"kept"	FALSE	0.33	658113	97687	560426	41	0.14843499520599
"SC242_2_R0C28yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S29_R1_001"	658151	567586	0.14	42	0.995	"kept"	FALSE	0.29	658151	90565	567586	42	0.137605200022487
"SC242_2_R0C32yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S33_R1_001"	561318	478872	0.15	35	0.996	"kept"	FALSE	0.29	561318	82446	478872	35	0.14687930905476
"SC242_2_R0C37yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S38_R1_001"	797512	676673	0.15	49	0.909	"kept"	FALSE	0.22	797512	120839	676673	49	0.151519977128871
"SC242_2_R0C38yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S39_R1_001"	691902	587645	0.15	44	0.811	"kept"	FALSE	0.34	691902	104257	587645	44	0.150681743946397
"SC242_2_R0C40yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S41_R1_001"	556915	483053	0.13	36	0.976	"kept"	FALSE	0.3	556915	73862	483053	36	0.132627061580313
"SC242_2_R0C41yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S42_R1_001"	353016	320612	0.09	24	0.133	"removed"	TRUE	0.04	353016	32404	320612	24	0.0917918734561606
"SC242_2_R0C44yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S45_R1_001"	502051	434648	0.13	32	0.979	"kept"	FALSE	0.31	502051	67403	434648	32	0.134255284821662
"SC242_2_R0C46yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S47_R1_001"	735954	626509	0.15	46	0.991	"kept"	FALSE	0.3	735954	109445	626509	46	0.148711740135932
"SC242_2_R0C47yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S48_R1_001"	651498	558679	0.14	41	0.992	"kept"	FALSE	0.26	651498	92819	558679	41	0.142470122701835
"SC242_2_R0C49yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S50_R1_001"	117528	105159	0.11	8	0.419	"removed"	TRUE	0.06	117528	12369	105159	8	0.105243005921993
