"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"well_1005_DUKE_27_A_yes_13_68_S6189"	1795804	1442147	0.2	105	0.965	"kept"	FALSE	0.3	"recurrence"	1795804	353657	1442147	0.196935188918167
"well_1013_DUKE_27_A_yes_14_4_S6197"	2203025	1692359	0.23	124	0.989	"kept"	FALSE	0.29	"recurrence"	2203025	510666	1692359	0.231802181091908
"well_1014_DUKE_27_A_yes_14_5_S6198"	1719766	1340862	0.22	99	0.991	"kept"	FALSE	0.29	"recurrence"	1719766	378904	1340862	0.220322997431046
"well_1016_DUKE_27_A_yes_14_7_S6200"	1355446	1090050	0.2	79	0.988	"kept"	FALSE	0.29	"recurrence"	1355446	265396	1090050	0.195799758898547
"well_1017_DUKE_27_A_yes_14_8_S6201"	1938041	1487941	0.23	106	0.769	"removed"	FALSE	0.51	"recurrence"	1938041	450100	1487941	0.232244828669775
"well_102_DUKE_27_A_yes_1_29_S5286"	230873	170056	0.26	12	0.24	"removed"	FALSE	0.28	"recurrence"	230873	60817	170056	0.263421881294045
"well_1020_DUKE_27_A_yes_14_11_S6204"	2014866	1555750	0.23	114	0.996	"kept"	FALSE	0.28	"recurrence"	2014866	459116	1555750	0.227864284771295
"well_1023_DUKE_27_A_yes_14_14_S6207"	2047190	1551241	0.24	113	0.843	"kept"	FALSE	0.37	"recurrence"	2047190	495949	1551241	0.242258412751137
"well_1026_DUKE_27_A_yes_14_17_S6210"	1527181	1165805	0.24	85	0.996	"kept"	FALSE	0.28	"recurrence"	1527181	361376	1165805	0.236629449947321
"well_1029_DUKE_27_A_yes_14_20_S6213"	2244915	1754722	0.22	128	0.996	"kept"	FALSE	0.3	"recurrence"	2244915	490193	1754722	0.218357042471541
"well_1030_DUKE_27_A_yes_14_21_S6214"	1935729	1513571	0.22	111	0.998	"kept"	FALSE	0.29	"recurrence"	1935729	422158	1513571	0.218087345904308
"well_1031_DUKE_27_A_yes_14_22_S6215"	1854093	1435533	0.23	105	0.996	"kept"	FALSE	0.28	"recurrence"	1854093	418560	1435533	0.225749193810666
"well_1032_DUKE_27_A_yes_14_23_S6216"	2040926	1559739	0.24	113	0.894	"kept"	FALSE	0.33	"recurrence"	2040926	481187	1559739	0.235768959776102
"well_1034_DUKE_27_A_yes_14_25_S6218"	1641427	1282902	0.22	94	0.986	"kept"	FALSE	0.29	"recurrence"	1641427	358525	1282902	0.218422750448238
"well_1039_DUKE_27_A_yes_14_30_S6223"	1693608	1318637	0.22	97	0.997	"kept"	FALSE	0.28	"recurrence"	1693608	374971	1318637	0.221403654210419
"well_104_DUKE_27_A_yes_1_31_S5288"	754705	614949	0.19	45	0.99	"kept"	FALSE	0.28	"recurrence"	754705	139756	614949	0.185179639726781
"well_1042_DUKE_27_A_yes_14_33_S6226"	1320482	1059751	0.2	77	0.996	"kept"	FALSE	0.29	"recurrence"	1320482	260731	1059751	0.197451385176019
"well_105_DUKE_27_A_yes_1_32_S5289"	1808387	1466567	0.19	108	0.99	"kept"	FALSE	0.28	"recurrence"	1808387	341820	1466567	0.189019275188331
"well_1054_DUKE_27_A_yes_14_45_S6238"	1390515	1099494	0.21	81	0.998	"kept"	FALSE	0.27	"recurrence"	1390515	291021	1099494	0.209290083170624
"well_1060_DUKE_27_A_yes_14_51_S6244"	1825753	1438724	0.21	105	0.998	"kept"	FALSE	0.28	"recurrence"	1825753	387029	1438724	0.211983220074128
"well_1069_DUKE_27_A_yes_14_60_S6253"	2177631	1736181	0.2	127	0.998	"kept"	FALSE	0.28	"recurrence"	2177631	441450	1736181	0.202720295587269
