"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"R0C10yesS30_A_W_A2_S11"	1965032	1576347	0.2	112	0.941	"kept"	FALSE	0.34	1965032	388685	1576347	0.197800850062493
"R0C1yesS30_D_W_A1_S2"	962696	830213	0.14	63	0.446	"removed"	TRUE	0.03	962696	132483	830213	0.137616651570174
"R0C20yesS30_D_W_A1_S21"	1120368	911308	0.19	68	0.296	"removed"	TRUE	0.03	1120368	209060	911308	0.186599403053282
"R0C26yesS30_D_W_A1_S27"	445308	375909	0.16	28	0.033	"removed"	TRUE	0	445308	69399	375909	0.155844943275216
"R0C27yesS30_A_W_A2_S28"	1338411	1073476	0.2	78	0.961	"kept"	FALSE	0.33	1338411	264935	1073476	0.197947416750161
"R0C35yesS30_A_W_A2_S36"	1478831	1269101	0.14	92	0.979	"kept"	FALSE	0.34	1478831	209730	1269101	0.141821479263012
"R0C3yesS30_D_W_A1_S4"	109060	100848	0.08	8	0.512	"removed"	FALSE	0.11	109060	8212	100848	0.0752980011003117
"R0C54yesS30_D_W_A1_S55"	1066852	908028	0.15	68	0.773	"removed"	TRUE	0.01	1066852	158824	908028	0.14887163355367
"R0C58yesS30_D_W_A1_S59"	230598	211670	0.08	16	0.568	"removed"	TRUE	0.02	230598	18928	211670	0.0820822383541921
"R0C63yesS30_A_W_A2_S64"	488642	436016	0.11	31	0.964	"kept"	FALSE	0.34	488642	52626	436016	0.107698478640805
"R0C66yesS30_A_W_A2_S67"	1443590	1191234	0.17	84	0.991	"kept"	FALSE	0.34	1443590	252356	1191234	0.174811407671153
"R0C67yesS30_A_W_A2_S68"	1625146	1268198	0.22	90	0.994	"kept"	FALSE	0.34	1625146	356948	1268198	0.21964057383152
"R0C68yesS30_A_W_A2_S69"	1112079	945275	0.15	68	0.981	"kept"	FALSE	0.33	1112079	166804	945275	0.149992941148965
"R0C69yesS30_A_W_A2_S70"	1220592	1003729	0.18	70	0.985	"kept"	FALSE	0.32	1220592	216863	1003729	0.177670343570989
"R0C70yesS30_A_W_A2_S71"	1485701	1217410	0.18	87	0.986	"kept"	FALSE	0.35	1485701	268291	1217410	0.180582095589893
"R0C8yesS30_D_W_A1_S9"	1301310	1062982	0.18	79	0.451	"removed"	TRUE	0.03	1301310	238328	1062982	0.183144677286734
"R10C0yesS30_A_W_B1_S721"	2420206	1857464	0.23	133	0.995	"kept"	FALSE	0.33	2420206	562742	1857464	0.232518223655342
"R10C12yesS30_A_W_B2_S733"	2201929	1720098	0.22	124	0.967	"kept"	FALSE	0.34	2201929	481831	1720098	0.218822223604848
"R10C13yesS30_A_W_B2_S734"	2142836	1632132	0.24	118	0.954	"kept"	FALSE	0.35	2142836	510704	1632132	0.238330884864731
"R10C20yesS30_A_W_B1_S741"	2457591	1924793	0.22	136	0.915	"kept"	FALSE	0.38	2457591	532798	1924793	0.216796855131712
"R10C24yesS30_A_W_B1_S745"	2638348	2044918	0.22	147	0.963	"kept"	FALSE	0.33	2638348	593430	2044918	0.224924839331279
"R10C26yesS30_A_W_B1_S747"	2273382	1839287	0.19	134	0.993	"kept"	FALSE	0.34	2273382	434095	1839287	0.190946792048147
"R10C28yesS30_A_W_B2_S749"	2044582	1650405	0.19	117	0.929	"kept"	FALSE	0.39	2044582	394177	1650405	0.192790995910166
"R10C30yesS30_A_W_B2_S751"	2146810	1696510	0.21	122	0.942	"kept"	FALSE	0.33	2146810	450300	1696510	0.209753075493406
