"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"SC89_NKI_12P_R0C0yesS_A_W_A1_S1"	193989	178420	0.08	12	0.893	"kept"	FALSE	0.37	"primary"	193989	15569	178420	0.0802571279814835
"SC89_NKI_12P_R0C10yesS_A_W_A2_S11"	590784	472971	0.2	35	0.41	"removed"	FALSE	0.59	"primary"	590784	117813	472971	0.199418061423464
"SC89_NKI_12P_R0C11yesS_A_W_A2_S12"	687347	577342	0.16	38	0.991	"kept"	FALSE	0.38	"primary"	687347	110005	577342	0.160042889544873
"SC89_NKI_12P_R0C18yesS_A_W_A1_S19"	1563097	1200760	0.23	84	0.994	"kept"	FALSE	0.31	"primary"	1563097	362337	1200760	0.231807111138976
"SC89_NKI_12P_R0C27yesS_A_W_A2_S28"	674827	587437	0.13	41	0.988	"kept"	FALSE	0.35	"primary"	674827	87390	587437	0.129499857000387
"SC89_NKI_12P_R0C30yesS_A_W_A2_S31"	764917	626913	0.18	43	0.987	"kept"	FALSE	0.35	"primary"	764917	138004	626913	0.180416960271507
"SC89_NKI_12P_R0C36yesS_A_W_A1_S37"	483236	422542	0.13	31	0.779	"removed"	FALSE	0.09	"primary"	483236	60694	422542	0.125599086160799
"SC89_NKI_12P_R0C37yesS_A_W_A1_S38"	878418	734366	0.16	51	0.989	"kept"	FALSE	0.3	"primary"	878418	144052	734366	0.163990264316077
"SC89_NKI_12P_R0C8yesS_A_W_A1_S9"	639544	538640	0.16	36	0.978	"kept"	FALSE	0.37	"primary"	639544	100904	538640	0.157774914626672
"SC89_NKI_12P_R10C0yesS_A_W_B1_S721"	594524	447365	0.25	30	0.919	"kept"	FALSE	0.17	"primary"	594524	147159	447365	0.247524069675909
"SC89_NKI_12P_R10C12yesS_A_W_B2_S733"	582511	446410	0.23	30	0.977	"kept"	FALSE	0.3	"primary"	582511	136101	446410	0.23364537322042
"SC89_NKI_12P_R10C25yesS_A_W_B1_S746"	1113529	872155	0.22	60	0.97	"kept"	FALSE	0.3	"primary"	1113529	241374	872155	0.216764897905667
