"","sample","reads_total","reads_assigned_bins","percentage_duplicates","median_bin_count","peak","subclones","over_disp","tissue"
"r0c10yes_s30_a_w_a2_s11","r0c10yes_s30_a_w_a2_s11",1965032,1576347,0.2,112,"a","c10",0.0110473735086136,"lung30_p1"
"r0c27yes_s30_a_w_a2_s28","r0c27yes_s30_a_w_a2_s28",1338411,1073476,0.2,78,"a","c2",0.0155639782484851,"lung30_p1"
"r0c35yes_s30_a_w_a2_s36","r0c35yes_s30_a_w_a2_s36",1478831,1269101,0.14,92,"a","c10",0.014296523603576,"lung30_p1"
"r0c63yes_s30_a_w_a2_s64","r0c63yes_s30_a_w_a2_s64",488642,436016,0.11,31,"a","c1",0.03691456175304,"lung30_p1"
"r0c66yes_s30_a_w_a2_s67","r0c66yes_s30_a_w_a2_s67",1443590,1191234,0.17,84,"a","c10",0.0145137102102659,"lung30_p1"
"r0c67yes_s30_a_w_a2_s68","r0c67yes_s30_a_w_a2_s68",1625146,1268198,0.22,90,"a","c8",0.0140447738408421,"lung30_p1"
"r0c68yes_s30_a_w_a2_s69","r0c68yes_s30_a_w_a2_s69",1112079,945275,0.15,68,"a","c7",0.0179464228526873,"lung30_p1"
"r0c69yes_s30_a_w_a2_s70","r0c69yes_s30_a_w_a2_s70",1220592,1003729,0.18,70,"a","c7",0.0173058715391033,"lung30_p1"
"r0c70yes_s30_a_w_a2_s71","r0c70yes_s30_a_w_a2_s71",1485701,1217410,0.18,87,"a","c10",0.014250118471998,"lung30_p1"
"r10c0yes_s30_a_w_b1_s721","r10c0yes_s30_a_w_b1_s721",2420206,1857464,0.23,133,"a","c7",0.0101522611018395,"lung30_p1"
"r10c12yes_s30_a_w_b2_s733","r10c12yes_s30_a_w_b2_s733",2201929,1720098,0.22,124,"a","c7",0.0115349795448541,"lung30_p1"
"r10c13yes_s30_a_w_b2_s734","r10c13yes_s30_a_w_b2_s734",2142836,1632132,0.24,118,"a","c9",0.0112368315143067,"lung30_p1"
"r10c20yes_s30_a_w_b1_s741","r10c20yes_s30_a_w_b1_s741",2457591,1924793,0.22,136,"a","c8",0.020970404197217,"lung30_p1"
"r10c24yes_s30_a_w_b1_s745","r10c24yes_s30_a_w_b1_s745",2638348,2044918,0.22,147,"a","c10",0.00997614336918809,"lung30_p1"
"r10c26yes_s30_a_w_b1_s747","r10c26yes_s30_a_w_b1_s747",2273382,1839287,0.19,134,"a","c8",0.0107185687903696,"lung30_p1"
"r10c28yes_s30_a_w_b2_s749","r10c28yes_s30_a_w_b2_s749",2044582,1650405,0.19,117,"a","c1",0.0113709357674109,"lung30_p1"
"r10c30yes_s30_a_w_b2_s751","r10c30yes_s30_a_w_b2_s751",2146810,1696510,0.21,122,"a","c7",0.0116971328225356,"lung30_p1"
"r10c37yes_s30_a_w_b1_s758","r10c37yes_s30_a_w_b1_s758",1831797,1458917,0.2,106,"a","c8",0.0140012548914931,"lung30_p1"
"r10c39yes_s30_a_w_b1_s760","r10c39yes_s30_a_w_b1_s760",2063744,1594941,0.23,113,"a","c10",0.0118633607801409,"lung30_p1"
"r10c41yes_s30_a_w_b1_s762","r10c41yes_s30_a_w_b1_s762",1922271,1514064,0.21,100,"a","c1",0.0195370145186037,"lung30_p1"
"r10c46yes_s30_a_w_b2_s767","r10c46yes_s30_a_w_b2_s767",1835968,1419578,0.23,102,"a","c9",0.0131715381778871,"lung30_p1"
"r10c47yes_s30_a_w_b2_s768","r10c47yes_s30_a_w_b2_s768",1227869,997515,0.19,71,"a","c1",0.0172283269498014,"lung30_p1"
"r10c48yes_s30_a_w_b2_s769","r10c48yes_s30_a_w_b2_s769",1870950,1466590,0.22,105,"a","c10",0.0124033778914713,"lung30_p1"
"r10c50yes_s30_a_w_b2_s771","r10c50yes_s30_a_w_b2_s771",1975611,1579634,0.2,115,"a","c8",0.012576230300699,"lung30_p1"
"r10c53yes_s30_a_w_b2_s774","r10c53yes_s30_a_w_b2_s774",2001563,1525522,0.24,110,"a","c8",0.0116349282967399,"lung30_p1"
"r10c60yes_s30_a_w_b1_s781","r10c60yes_s30_a_w_b1_s781",1451090,1131127,0.22,81,"a","c8",0.0157842204128488,"lung30_p1"
"r10c61yes_s30_a_w_b1_s782","r10c61yes_s30_a_w_b1_s782",1763945,1393744,0.21,101,"a","c7",0.0130753575467981,"lung30_p1"
"r10c67yes_s30_a_w_b2_s788","r10c67yes_s30_a_w_b2_s788",2372065,1799160,0.24,129,"a","c10",0.010279166675203,"lung30_p1"
"r10c9yes_s30_a_w_b2_s730","r10c9yes_s30_a_w_b2_s730",2097729,1635471,0.22,115,"a","c1",0.011008412851991,"lung30_p1"
"r11c13yes_s30_a_w_b2_s806","r11c13yes_s30_a_w_b2_s806",2763503,2143787,0.22,151,"a","c1",0.00918549407007866,"lung30_p1"
"r11c14yes_s30_a_w_b2_s807","r11c14yes_s30_a_w_b2_s807",2450355,1921322,0.22,139,"a","c1",0.00968236891833512,"lung30_p1"
"r11c15yes_s30_a_w_b2_s808","r11c15yes_s30_a_w_b2_s808",2228313,1744326,0.22,126,"a","c8",0.010830867382774,"lung30_p1"
"r11c16yes_s30_a_w_b2_s809","r11c16yes_s30_a_w_b2_s809",2525319,1988039,0.21,140,"a","c1",0.00962328136601262,"lung30_p1"
"r11c18yes_s30_a_w_b1_s811","r11c18yes_s30_a_w_b1_s811",382759,335732,0.12,24,"a","c8",0.0437692468695006,"lung30_p1"
"r11c29yes_s30_a_w_b2_s822","r11c29yes_s30_a_w_b2_s822",2113040,1623841,0.23,113,"a","c7",0.0139658588953622,"lung30_p1"
"r11c3yes_s30_a_w_b1_s796","r11c3yes_s30_a_w_b1_s796",1996870,1542450,0.23,110,"a","c8",0.0117817501569376,"lung30_p1"
"r11c57yes_s30_a_w_b1_s850","r11c57yes_s30_a_w_b1_s850",1487162,1165771,0.22,84,"a","c9",0.014721835114678,"lung30_p1"
"r11c58yes_s30_a_w_b1_s851","r11c58yes_s30_a_w_b1_s851",1673339,1292400,0.23,92,"a","c8",0.0136745790113142,"lung30_p1"
"r11c68yes_s30_a_w_b2_s861","r11c68yes_s30_a_w_b2_s861",1776516,1370840,0.23,98,"a","c8",0.0134625413844901,"lung30_p1"
"r12c10yes_s30_a_w_b2_s875","r12c10yes_s30_a_w_b2_s875",2421373,1851613,0.24,130,"a","c8",0.0103406721442526,"lung30_p1"
"r12c19yes_s30_a_w_b1_s884","r12c19yes_s30_a_w_b1_s884",1607279,1276846,0.21,90,"a","c1",0.0140872729400695,"lung30_p1"
"r12c1yes_s30_a_w_b1_s866","r12c1yes_s30_a_w_b1_s866",1787084,1436540,0.2,102,"a","c3",0.013046672380304,"lung30_p1"
"r12c22yes_s30_a_w_b1_s887","r12c22yes_s30_a_w_b1_s887",1784822,1445017,0.19,104,"a","c1",0.0132933443468559,"lung30_p1"
"r12c23yes_s30_a_w_b1_s888","r12c23yes_s30_a_w_b1_s888",1516445,1205764,0.2,86,"a","c7",0.0140863732207073,"lung30_p1"
"r12c34yes_s30_a_w_b2_s899","r12c34yes_s30_a_w_b2_s899",1336943,1070507,0.2,77,"a","c8",0.0153913654507654,"lung30_p1"
"r12c36yes_s30_a_w_b1_s901","r12c36yes_s30_a_w_b1_s901",1666165,1339693,0.2,96,"a","c10",0.0134174672712227,"lung30_p1"
"r12c46yes_s30_a_w_b2_s911","r12c46yes_s30_a_w_b2_s911",1656345,1322873,0.2,94,"a","c1",0.0136705771562294,"lung30_p1"
"r12c49yes_s30_a_w_b2_s914","r12c49yes_s30_a_w_b2_s914",227684,206971,0.09,14,"a","c8",0.0681633276581021,"lung30_p1"
"r12c50yes_s30_a_w_b2_s915","r12c50yes_s30_a_w_b2_s915",1389243,1119856,0.19,81,"a","c2",0.0158579847343384,"lung30_p1"
"r12c51yes_s30_a_w_b2_s916","r12c51yes_s30_a_w_b2_s916",1969389,1557424,0.21,112,"a","c10",0.0103823392033132,"lung30_p1"
"r12c52yes_s30_a_w_b2_s917","r12c52yes_s30_a_w_b2_s917",1768649,1364856,0.23,97,"a","c10",0.0139295352108502,"lung30_p1"
"r12c59yes_s30_a_w_b1_s924","r12c59yes_s30_a_w_b1_s924",1136222,931361,0.18,67,"a","c10",0.019306055449083,"lung30_p1"
"r12c5yes_s30_a_w_b1_s870","r12c5yes_s30_a_w_b1_s870",1633534,1287232,0.21,89,"a","c8",0.0133678072454749,"lung30_p1"
"r12c61yes_s30_a_w_b1_s926","r12c61yes_s30_a_w_b1_s926",1867853,1479287,0.21,106,"a","c1",0.0130862936919364,"lung30_p1"
"r12c65yes_s30_a_w_b2_s930","r12c65yes_s30_a_w_b2_s930",1520873,1200597,0.21,86,"a","c8",0.0145847358346193,"lung30_p1"
"r12c68yes_s30_a_w_b2_s933","r12c68yes_s30_a_w_b2_s933",1614520,1274383,0.21,90,"a","c10",0.0135547335070237,"lung30_p1"
"r12c71yes_s30_a_w_b2_s936","r12c71yes_s30_a_w_b2_s936",1325602,1059078,0.2,75,"a","c10",0.0176126559276112,"lung30_p1"
"r13c12yes_s30_a_w_b2_s949","r13c12yes_s30_a_w_b2_s949",1524062,1226630,0.2,88,"a","c7",0.0137756577532556,"lung30_p1"
"r13c14yes_s30_a_w_b2_s951","r13c14yes_s30_a_w_b2_s951",1731283,1403270,0.19,98,"a","c8",0.0132079826880143,"lung30_p1"
"r13c15yes_s30_a_w_b2_s952","r13c15yes_s30_a_w_b2_s952",1688227,1346177,0.2,96,"a","c1",0.0142253723329258,"lung30_p1"
"r13c16yes_s30_a_w_b2_s953","r13c16yes_s30_a_w_b2_s953",1599603,1284645,0.2,92,"a","c7",0.0145697581634072,"lung30_p1"
"r13c18yes_s30_a_w_b1_s955","r13c18yes_s30_a_w_b1_s955",339743,301817,0.11,22,"a","c7",0.0491073098491455,"lung30_p1"
"r13c19yes_s30_a_w_b1_s956","r13c19yes_s30_a_w_b1_s956",1440572,1178814,0.18,84,"a","c10",0.0155085251973958,"lung30_p1"
"r13c21yes_s30_a_w_b1_s958","r13c21yes_s30_a_w_b1_s958",1573294,1281662,0.19,91,"a","c1",0.0125858239651089,"lung30_p1"
"r13c25yes_s30_a_w_b1_s962","r13c25yes_s30_a_w_b1_s962",1377294,1136750,0.17,80,"a","c5",0.0146918365397303,"lung30_p1"
"r13c28yes_s30_a_w_b2_s965","r13c28yes_s30_a_w_b2_s965",1570443,1277834,0.19,92,"a","c4",0.0151104417773152,"lung30_p1"
"r13c37yes_s30_a_w_b1_s974","r13c37yes_s30_a_w_b1_s974",1257970,1031478,0.18,74,"a","c7",0.0155389416379017,"lung30_p1"
"r13c40yes_s30_a_w_b1_s977","r13c40yes_s30_a_w_b1_s977",1312470,1061128,0.19,76,"a","c7",0.0160085050349937,"lung30_p1"
"r13c55yes_s30_a_w_b1_s992","r13c55yes_s30_a_w_b1_s992",1767188,1402501,0.21,102,"a","c2",0.0136300313689224,"lung30_p1"
"r13c57yes_s30_a_w_b1_s994","r13c57yes_s30_a_w_b1_s994",1159054,967908,0.16,69,"a","c8",0.0175297029621602,"lung30_p1"
"r13c60yes_s30_a_w_b1_s997","r13c60yes_s30_a_w_b1_s997",663048,532519,0.2,35,"a","c10",0.0302387627749574,"lung30_p1"
"r13c71yes_s30_a_w_b2_s1008","r13c71yes_s30_a_w_b2_s1008",1225828,984650,0.2,69,"a","c1",0.0174895380460878,"lung30_p1"
"r13c9yes_s30_a_w_b2_s946","r13c9yes_s30_a_w_b2_s946",1480719,1241832,0.16,88,"a","c2",0.0200170040576791,"lung30_p1"
"r14c22yes_s30_a_w_b1_s1031","r14c22yes_s30_a_w_b1_s1031",1817638,1441282,0.21,105,"a","c2",0.0129070611867552,"lung30_p1"
"r14c28yes_s30_a_w_b2_s1037","r14c28yes_s30_a_w_b2_s1037",1928937,1537208,0.2,110,"a","c7",0.0116783897249038,"lung30_p1"
"r14c38yes_s30_a_w_b1_s1047","r14c38yes_s30_a_w_b1_s1047",1739569,1355515,0.22,95,"a","c1",0.0131001244683711,"lung30_p1"
"r14c40yes_s30_a_w_b1_s1049","r14c40yes_s30_a_w_b1_s1049",1775798,1385538,0.22,99,"a","c7",0.0129236636541663,"lung30_p1"
"r14c42yes_s30_a_w_b1_s1051","r14c42yes_s30_a_w_b1_s1051",1448555,1157883,0.2,82,"a","c2",0.0174861409095948,"lung30_p1"
"r14c47yes_s30_a_w_b2_s1056","r14c47yes_s30_a_w_b2_s1056",1486823,1177937,0.21,82,"a","c9",0.0163688308934781,"lung30_p1"
"r14c50yes_s30_a_w_b2_s1059","r14c50yes_s30_a_w_b2_s1059",1603348,1256191,0.22,90,"a","c2",0.0141022064799626,"lung30_p1"
"r14c68yes_s30_a_w_b2_s1077","r14c68yes_s30_a_w_b2_s1077",1531277,1206063,0.21,87,"a","c8",0.0146632035323445,"lung30_p1"
"r14c70yes_s30_a_w_b2_s1079","r14c70yes_s30_a_w_b2_s1079",965168,801012,0.17,57,"a","c10",0.0225756470549021,"lung30_p1"
"r15c0yes_s30_a_w_b1_s1081","r15c0yes_s30_a_w_b1_s1081",2617940,1991295,0.24,142,"a","c10",0.00953991754332537,"lung30_p1"
"r15c10yes_s30_a_w_b2_s1091","r15c10yes_s30_a_w_b2_s1091",1756773,1354776,0.23,98,"a","c8",0.0132560650117046,"lung30_p1"
"r15c18yes_s30_a_w_b1_s1099","r15c18yes_s30_a_w_b1_s1099",2312347,1718203,0.26,122,"a","c10",0.0112218018410389,"lung30_p1"
"r15c20yes_s30_a_w_b1_s1101","r15c20yes_s30_a_w_b1_s1101",2245864,1703006,0.24,122,"a","c8",0.0117162072196361,"lung30_p1"
"r15c22yes_s30_a_w_b1_s1103","r15c22yes_s30_a_w_b1_s1103",2011499,1548059,0.23,110,"a","c7",0.0122297485243856,"lung30_p1"
"r15c34yes_s30_a_w_b2_s1115","r15c34yes_s30_a_w_b2_s1115",1905471,1490040,0.22,108,"a","c10",0.0111723771907816,"lung30_p1"
"r15c35yes_s30_a_w_b2_s1116","r15c35yes_s30_a_w_b2_s1116",1885778,1492986,0.21,108,"a","c2",0.0122229996078621,"lung30_p1"
"r15c40yes_s30_a_w_b1_s1121","r15c40yes_s30_a_w_b1_s1121",2097991,1602101,0.24,116,"a","c2",0.0118620707582421,"lung30_p1"
"r15c49yes_s30_a_w_b2_s1130","r15c49yes_s30_a_w_b2_s1130",334681,300994,0.1,22,"a","c10",0.0487161488744531,"lung30_p1"
"r15c53yes_s30_a_w_b2_s1134","r15c53yes_s30_a_w_b2_s1134",2359576,1759249,0.25,125,"a","c4",0.0106289023403519,"lung30_p1"
"r15c56yes_s30_a_w_b1_s1137","r15c56yes_s30_a_w_b1_s1137",2040851,1552893,0.24,112,"a","c2",0.0121949136710294,"lung30_p1"
"r15c61yes_s30_a_w_b1_s1142","r15c61yes_s30_a_w_b1_s1142",1770476,1367733,0.23,98,"a","c10",0.0127759647464672,"lung30_p1"
"r15c62yes_s30_a_w_b1_s1143","r15c62yes_s30_a_w_b1_s1143",1768501,1380960,0.22,97,"a","c8",0.0194402682117046,"lung30_p1"
"r15c63yes_s30_a_w_b2_s1144","r15c63yes_s30_a_w_b2_s1144",2062562,1580635,0.23,111,"a","c1",0.0117320978865178,"lung30_p1"
