"","cell","correlation","n_reads"
"1","MDA231.9x.cell1006_S1006_R1_001",0.999894347183517,"1M"
"2","MDA231.9x.cell1008_S1008_R1_001",0.942045101248832,"1M"
"3","MDA231.9x.cell1016_S1016_R1_001",1,"1M"
"4","MDA231.9x.cell1038_S1038_R1_001",0.959576323146705,"1M"
"5","MDA231.9x.cell1050_S1050_R1_001",0.949385947683304,"1M"
"6","MDA231.9x.cell1051_S1051_R1_001",0.999513333984792,"1M"
"7","MDA231.9x.cell1059_S1059_R1_001",0.981080765051806,"1M"
"8","MDA231.9x.cell1080_S1080_R1_001",0.975041900430531,"1M"
"9","MDA231.9x.cell1081_S1081_R1_001",0.965938414397717,"1M"
"10","MDA231.9x.cell1091_S1091_R1_001",0.989561035818967,"1M"
"11","MDA231.9x.cell1092_S1092_R1_001",0.990387156649147,"1M"
"12","MDA231.9x.cell1098_S1098_R1_001",0.998973628186269,"1M"
"13","MDA231.9x.cell1105_S1105_R1_001",0.992525152949615,"1M"
"14","MDA231.9x.cell1109_S1109_R1_001",0.994544215125935,"1M"
"15","MDA231.9x.cell1116_S1116_R1_001",0.985655075510174,"1M"
"16","MDA231.9x.cell1120_S1120_R1_001",0.995034731275254,"1M"
"17","MDA231.9x.cell1121_S1121_R1_001",0.997988620440428,"1M"
"18","MDA231.9x.cell1134_S1134_R1_001",0.999772873565232,"1M"
"19","MDA231.9x.cell114_S114_R1_001",0.998412058823266,"1M"
"20","MDA231.9x.cell1184_S1184_R1_001",0.975736951021203,"1M"
"21","MDA231.9x.cell1189_S1189_R1_001",0.967365049516582,"1M"
"22","MDA231.9x.cell119_S119_R1_001",0.986093687411255,"1M"
"23","MDA231.9x.cell1204_S1204_R1_001",0.959085521367716,"1M"
"24","MDA231.9x.cell1209_S1209_R1_001",0.990481126719995,"1M"
"25","MDA231.9x.cell121_S121_R1_001",0.999391525474914,"1M"
"26","MDA231.9x.cell1210_S1210_R1_001",0.993818686993005,"1M"
"27","MDA231.9x.cell1230_S1230_R1_001",0.969220437616756,"1M"
"28","MDA231.9x.cell1235_S1235_R1_001",0.950968054350345,"1M"
"29","MDA231.9x.cell1238_S1238_R1_001",0.966093626577774,"1M"
"30","MDA231.9x.cell1253_S1253_R1_001",0.983996422381074,"1M"
