"","timepoint","cell_num","mpd","sample"
"1","primary","50","323.018749177562","duke248_p3"
"2","primary","75","349.087230503292","duke248_p3"
"3","primary","100","344.866038777834","duke248_p3"
"4","primary","125","346.944654707615","duke248_p3"
"5","primary","150","357.973759734402","duke248_p3"
"6","primary","175","368.808554630801","duke248_p3"
"7","primary","200","381.487159158709","duke248_p3"
"8","primary","225","386.427151877017","duke248_p3"
"9","primary","250","389.969992172243","duke248_p3"
"10","primary","275","385.421396413521","duke248_p3"
"11","primary","300","398.320093178393","duke248_p3"
"12","primary","325","401.805534398787","duke248_p3"
"13","primary","350","398.078627930847","duke248_p3"
"14","primary","375","399.593163367379","duke248_p3"
"15","primary","400","407.661612630861","duke248_p3"
"16","primary","425","405.978640233485","duke248_p3"
"17","primary","450","408.902053424482","duke248_p3"
"18","primary","475","410.428743821559","duke248_p3"
"19","recurrence","50","408.241476979993","duke248_p3"
"20","recurrence","75","459.239939736396","duke248_p3"
"21","recurrence","100","486.808301828982","duke248_p3"
"22","recurrence","125","512.049218637504","duke248_p3"
"23","recurrence","150","526.601684350329","duke248_p3"
"24","recurrence","175","529.806710427711","duke248_p3"
"25","recurrence","200","552.917165691715","duke248_p3"
"26","recurrence","225","548.020360311091","duke248_p3"
