"","timepoint","cell_num","mpd","sample"
"1","primary","50","547.760811406108","nki22_p9"
"2","primary","75","596.005932580421","nki22_p9"
"3","primary","100","613.521254497779","nki22_p9"
"4","primary","125","636.355642481569","nki22_p9"
"5","primary","150","641.115927375011","nki22_p9"
"6","primary","175","659.78563315351","nki22_p9"
"7","primary","200","674.491680156428","nki22_p9"
"8","primary","225","677.211132945862","nki22_p9"
"9","primary","250","699.288108604494","nki22_p9"
"10","primary","275","703.509366355945","nki22_p9"
"11","recurrence","50","616.066147320143","nki22_p9"
"12","recurrence","75","629.385350524628","nki22_p9"
"13","recurrence","100","665.760265050006","nki22_p9"
"14","recurrence","125","702.601923928344","nki22_p9"
"15","recurrence","150","725.425616342095","nki22_p9"
"16","recurrence","175","739.85615433402","nki22_p9"
"17","recurrence","200","746.019604238824","nki22_p9"
"18","recurrence","225","771.504559951539","nki22_p9"
"19","recurrence","250","778.826863059373","nki22_p9"
"20","recurrence","275","794.238261672394","nki22_p9"
"21","recurrence","300","804.257345957065","nki22_p9"
"22","recurrence","325","814.626422806993","nki22_p9"
"23","recurrence","350","820.677185514637","nki22_p9"
"24","recurrence","375","835.929910269391","nki22_p9"
"25","recurrence","400","824.806972690969","nki22_p9"
"26","recurrence","425","834.782705728445","nki22_p9"
"27","recurrence","450","852.774472997837","nki22_p9"
"28","recurrence","475","844.12108853329","nki22_p9"
"29","recurrence","500","862.411148899124","nki22_p9"
"30","recurrence","525","855.40504373541","nki22_p9"
"31","recurrence","550","865.408673431075","nki22_p9"
