"","timepoint","cell_num","mpd","sample"
"1","primary","50","323.018749177562","duke248_p3"
"2","primary","75","349.087230503292","duke248_p3"
"3","primary","100","344.866038777834","duke248_p3"
"4","primary","125","346.944654707615","duke248_p3"
"5","primary","150","357.973759734402","duke248_p3"
"6","primary","175","368.808554630801","duke248_p3"
"7","primary","200","381.487159158709","duke248_p3"
"8","primary","225","386.427151877017","duke248_p3"
"9","primary","250","389.969992172243","duke248_p3"
"10","primary","275","385.421396413521","duke248_p3"
"11","primary","300","398.320093178393","duke248_p3"
"12","primary","325","401.805534398787","duke248_p3"
"13","primary","350","398.078627930847","duke248_p3"
"14","primary","375","399.593163367379","duke248_p3"
"15","primary","400","407.661612630861","duke248_p3"
"16","primary","425","405.978640233485","duke248_p3"
"17","primary","450","408.902053424482","duke248_p3"
"18","primary","475","410.428743821559","duke248_p3"
"19","recurrence","50","408.241476979993","duke248_p3"
"20","recurrence","75","459.239939736396","duke248_p3"
"21","recurrence","100","486.808301828982","duke248_p3"
"22","recurrence","125","512.049218637504","duke248_p3"
"23","recurrence","150","526.601684350329","duke248_p3"
"24","recurrence","175","529.806710427711","duke248_p3"
"25","recurrence","200","552.917165691715","duke248_p3"
"26","recurrence","225","548.020360311091","duke248_p3"
"27","primary","50","740.722025381662","duke254_p4"
"28","primary","75","833.163395804922","duke254_p4"
"29","primary","100","857.791044265039","duke254_p4"
"30","primary","125","902.835583654309","duke254_p4"
"31","primary","150","896.929942064499","duke254_p4"
"32","primary","175","941.857598872643","duke254_p4"
"33","primary","200","946.995855878474","duke254_p4"
"34","primary","225","976.290567035881","duke254_p4"
"35","primary","250","973.286421122718","duke254_p4"
"36","primary","275","983.984719244511","duke254_p4"
"37","primary","300","989.468678500185","duke254_p4"
"38","primary","325","1014.3987268432","duke254_p4"
"39","primary","350","1008.29323834413","duke254_p4"
"40","primary","375","1007.66908708596","duke254_p4"
"41","primary","400","1032.75987600973","duke254_p4"
"42","primary","425","1041.2653390578","duke254_p4"
"43","primary","450","1039.27418360022","duke254_p4"
"44","primary","475","1045.57889449172","duke254_p4"
"45","primary","500","1048.55344207176","duke254_p4"
"46","primary","525","1061.59180636181","duke254_p4"
