"","sample","num_cna","timepoint"
"1","duke248_p3","26.6666666666667","Primary"
"2","duke248_p3","41","Recurrence"
"3","duke254_p4","36.3333333333333","Primary"
"4","duke254_p4","38.8","Recurrence"
"5","nki23_p5","28.2","Primary"
"6","nki23_p5","29","Recurrence"
"7","nki26_p6","51","Primary"
"8","nki26_p6","93.4","Recurrence"
"9","nki28_p7","100","Primary"
"10","nki28_p7","90.4","Recurrence"
"11","nki19_p8","28","Primary"
"12","nki19_p8","28.5333333333333","Recurrence"
"13","nki22_p9","93.3333333333333","Primary"
"14","nki22_p9","95.6666666666667","Recurrence"
"15","nki15_p10","43.7777777777778","Primary"
"16","nki15_p10","41","Recurrence"
"17","nki31_p11","86.2857142857143","Primary"
"18","nki31_p11","69","Recurrence"
"19","nki12_p12","57.7692307692308","Primary"
"20","nki12_p12","56.75","Recurrence"
