"","sample","num_cna","timepoint"
"1","duke248_p3","26.6666666666667","Primary"
"2","duke248_p3","40","Recurrence"
"3","duke254_p4","36","Primary"
"4","duke254_p4","37.8","Recurrence"
"5","nki23_p5","28.2","Primary"
"6","nki23_p5","29","Recurrence"
"7","nki26_p6","50","Primary"
"8","nki26_p6","93","Recurrence"
"9","nki28_p7","99","Primary"
"10","nki28_p7","89.8","Recurrence"
"11","nki19_p8","27.5","Primary"
"12","nki19_p8","27.6875","Recurrence"
"13","nki22_p9","89.25","Primary"
"14","nki22_p9","93.4285714285714","Recurrence"
"15","nki15_p10","43.7777777777778","Primary"
"16","nki15_p10","40.2857142857143","Recurrence"
"17","nki31_p11","85.2857142857143","Primary"
"18","nki31_p11","68","Recurrence"
"19","nki12_p12","57.2307692307692","Primary"
"20","nki12_p12","55.7692307692308","Recurrence"
