sample	reads_total	reads_assigned_bins	percentage_duplicates	median_bin_count	filter_corr_value	ReadsKept	MedianBinCount	dups_percentage	sample_name	over_disp	tech
MR1-MDAMB231-P2-C133_S133_L001_R1_001	927750	835981	0.1	64	0.984	835981	64	0.09891565615737	act_mda231	0.00392942793922772	ACT-MDA231
MR1-MDAMB231-C165_S549_L002	1317682	1206854	0.08	93	0.973	1206854	93	0.0841083053422601	act_mda231	0.0186354791666035	ACT-MDA231
MR1-MDAMB231-P2-C78_S78_L001_R1_001	1085527	982410	0.09	74	0.945	982410	74	0.0949925704289253	act_mda231	0.00514247726173446	ACT-MDA231
MR1-MDAMB231-C329_S713_L002	1409491	1286191	0.09	96	0.876	1286191	96	0.0874783875881435	act_mda231	0.0177799616994244	ACT-MDA231
MR1-MDAMB231-P2-C303_S303_L001_R1_001	1064498	959325	0.1	72	0.986	959325	72	0.0988005613913788	act_mda231	0.00595057411489141	ACT-MDA231
MR1-MDAMB436-C338_S338_L001	1661395	1458962	0.12	99	0.876	1458962	99	0.121845196356074	act_mda231	0.0202858575407988	ACT-MDA231
MR1-MDAMB231-P3-C231_S615_L002_R1_001	1426905	1264493	0.11	94	0.845	1264493	94	0.113821172397602	act_mda231	0.00384497990214306	ACT-MDA231
MR1-MDAMB231-C218_S602_L002	1601015	1458023	0.09	108	0.949	1458023	108	0.0893133418487647	act_mda231	0.0163079351421748	ACT-MDA231
MR1-MDAMB231-P2-C341_S341_L001_R1_001	1061296	955760	0.1	74	0.976	955760	74	0.0994406838431503	act_mda231	0.0050837010454522	ACT-MDA231
MR1-MDAMB436-C82_S82_L001	1312075	1176660	0.1	90	0.838	1176660	90	0.103206752662767	act_mda231	0.0179537528743896	ACT-MDA231
MR1-MDAMB436-C264_S264_L001	1169738	1049581	0.1	72	0.964	1049581	72	0.102721293144277	act_mda231	0.0415991913661934	ACT-MDA231
MR1-MDAMB436-C73_S73_L001	1321140	1176301	0.11	80	0.972	1176301	80	0.109631833113826	act_mda231	0.0281448996944034	ACT-MDA231
MR1-MDAMB231-P3-C307_S691_L002_R1_001	1651246	1455224	0.12	114	0.974	1455224	114	0.1187115669016	act_mda231	0.00406047900279356	ACT-MDA231
MR1-MDAMB231-C187_S571_L002	1469778	1346440	0.08	102	0.99	1346440	102	0.0839160744003516	act_mda231	0.0168754408605359	ACT-MDA231
MR1-MDAMB436-C234_S234_L001	1470853	1303004	0.11	88	0.947	1303004	88	0.114116774415934	act_mda231	0.0347653534944178	ACT-MDA231
MR1-MDAMB231-P3-C348_S732_L002_R1_001	1550403	1379010	0.11	103	0.939	1379010	103	0.110547386711713	act_mda231	0.00338428697822315	ACT-MDA231
MR1-MDAMB436-C68_S68_L001	1635861	1442226	0.12	107	0.951	1442226	107	0.118368858967846	act_mda231	0.0199332871824551	ACT-MDA231
MR1-MDAMB436-C86_S86_L001	1823750	1572654	0.14	107	0.96	1572654	107	0.137681151473612	act_mda231	0.0313748706993011	ACT-MDA231
MR1-MDAMB436-C336_S336_L001	2725112	2248785	0.17	161	0.889	2248785	161	0.174791714982724	act_mda231	0.0588984969357419	ACT-MDA231
MR1-MDAMB231-P2-C329_S329_L001_R1_001	861959	782971	0.09	59	0.916	782971	59	0.0916377693138537	act_mda231	0.00497451475617343	ACT-MDA231
MR1-MDAMB436-C54_S54_L001	1670306	1446777	0.13	98	0.938	1446777	98	0.133825179338397	act_mda231	0.0299289817613368	ACT-MDA231
MR1-MDAMB231-P3-C230_S614_L002_R1_001	1542174	1374714	0.11	108	0.996	1374714	108	0.108586968785623	act_mda231	0.00415246256085109	ACT-MDA231
MR1-MDAMB231-C58_S442_L002	1617407	1474063	0.09	112	0.976	1474063	112	0.0886258066151562	act_mda231	0.0147417390243638	ACT-MDA231
MR1-MDAMB436-C246_S246_L001	1571683	1374526	0.13	92	0.987	1374526	92	0.125443235054397	act_mda231	0.0222616844861879	ACT-MDA231
MR1-MDAMB231-C383_S767_L002	1608449	1444232	0.1	110	0.969	1444232	110	0.102096491713446	act_mda231	0.0227797577661893	ACT-MDA231
MR1-MDAMB436-C288_S288_L001	1420147	1230757	0.13	86	0.836	1230757	86	0.133359433917756	act_mda231	0.0810369771454195	ACT-MDA231
MR1-MDAMB436-C363_S363_L001	1637543	1429891	0.13	98	0.931	1429891	98	0.126807051784289	act_mda231	0.027997533116447	ACT-MDA231
MR1-MDAMB231-P3-C113_S497_L002_R1_001	172034	158384	0.08	11	0.941	158384	11	0.0793447806828883	act_mda231	0.0259294908398002	ACT-MDA231
MR1-MDAMB231-P2-C374_S374_L001_R1_001	880833	796126	0.1	61	0.993	796126	61	0.0961669238096211	act_mda231	0.0188041586596822	ACT-MDA231
MR1-MDAMB231-P3-C68_S452_L002_R1_001	361617	331326	0.08	24	0.901	331326	24	0.0837654203203942	act_mda231	0.02679460831578	ACT-MDA231
MR1-MDAMB231-C360_S744_L002	1750118	1560929	0.11	117	0.8	1560929	117	0.108100710923492	act_mda231	0.0483577916394974	ACT-MDA231
MR1-MDAMB231-P3-C343_S727_L002_R1_001	1441406	1276047	0.11	98	0.928	1276047	98	0.114720626943415	act_mda231	0.00719387622197401	ACT-MDA231
MR1-MDAMB231-C319_S703_L002	1179646	1085271	0.08	81	0.946	1085271	81	0.0800028144036431	act_mda231	0.0183949508835145	ACT-MDA231
MR1-MDAMB436-C236_S236_L001	1154515	1040628	0.1	74	0.946	1040628	74	0.0986448855146966	act_mda231	0.0377237579935007	ACT-MDA231
MR1-MDAMB231-C117_S501_L002	1618188	1468428	0.09	112	0.948	1468428	112	0.0925479610527331	act_mda231	0.0133719042831563	ACT-MDA231
MR1-MDAMB436-C121_S121_L001	1318581	1165187	0.12	81	0.934	1165187	81	0.116332633338415	act_mda231	0.0320423982923282	ACT-MDA231
MR1-MDAMB231-P3-C368_S752_L002_R1_001	2630284	2236888	0.15	168	0.973	2236888	168	0.149564077491252	act_mda231	0.00318823563541532	ACT-MDA231
MR1-MDAMB231-C97_S481_L002	1717158	1564237	0.09	120	0.967	1564237	120	0.0890547055075887	act_mda231	0.0151816102536253	ACT-MDA231
MR1-MDAMB231-C210_S594_L002	1342599	1232107	0.08	94	0.968	1232107	94	0.082297096899372	act_mda231	0.0167965813189485	ACT-MDA231
MR1-MDAMB231-P3-C276_S660_L002_R1_001	1359330	1216413	0.11	94	0.989	1216413	94	0.105137825252146	act_mda231	0.00261419488119717	ACT-MDA231
MR1-MDAMB231-P2-C26_S26_L001_R1_001	1159889	1044646	0.1	81	0.99	1044646	81	0.0993569212226342	act_mda231	0.0047887552735699	ACT-MDA231
MR1-MDAMB231-C336_S720_L002	1889936	1698152	0.1	129	0.971	1698152	129	0.101476452112664	act_mda231	0.0140878318058069	ACT-MDA231
MR1-MDAMB231-P2-C142_S142_L001_R1_001	1253471	1128219	0.1	84	0.962	1128219	84	0.0999241306739446	act_mda231	0.0126607365125796	ACT-MDA231
MR1-MDAMB231-C261_S645_L002	1295720	1203589	0.07	92	0.979	1203589	92	0.0711040965640725	act_mda231	0.0157710987122648	ACT-MDA231
MR1-MDAMB436-C332_S332_L001	1949487	1701278	0.13	119	0.879	1701278	119	0.127320161663043	act_mda231	0.0271573346291421	ACT-MDA231
MR1-MDAMB231-C248_S632_L002	865587	805379	0.07	61	0.922	805379	61	0.0695574217265278	act_mda231	0.0220399297248243	ACT-MDA231
MR1-MDAMB231-C363_S747_L002	2456545	2191415	0.11	168	0.995	2191415	168	0.107928004575532	act_mda231	0.0125818600683385	ACT-MDA231
