sample	reads_total	reads_assigned_bins	percentage_duplicates	median_bin_count	filter_corr_value	ReadsKept	MedianBinCount	dups_percentage	sample_name	over_disp	tech
Arc_well_315A_formalin_r49c14_yes_B2_ManualUseCluster_S3543_R1_001	529655	431010	0.19	34	0.835	431010	34	0.186243875730428	formalin_315a	0.0151688301307084	Arc-well-formalin-315A
Arc_well_315A_formalin_r71c42_yes_D1_ManualUseMultipleCells_S5155_R1_001	313918	255044	0.19	19	0.883	255044	19	0.187545792213253	formalin_315a	0.00522185080008694	Arc-well-formalin-315A
Arc_well_315A_formalin_r32c62_yes_D1_Good_S2367_R1_001	300727	262852	0.13	19	0.889	262852	19	0.125944793783066	formalin_315a	0.0155715349547836	Arc-well-formalin-315A
Arc_well_315A_formalin_r56c63_yes_C2_Good_S4096_R1_001	506382	398238	0.21	30	1	398238	30	0.21356209343934	formalin_315a	0.00386719795587233	Arc-well-formalin-315A
Arc_well_315A_formalin_r61c9_yes_C2_Good_S4402_R1_001	271307	231749	0.15	18	1	231749	18	0.145805305428905	formalin_315a	0.00751605649099623	Arc-well-formalin-315A
Arc_well_315A_formalin_r5c38_yes_A1_Good_S399_R1_001	614863	474715	0.23	36	0.98	474715	36	0.227933702304416	formalin_315a	0.010863230365226	Arc-well-formalin-315A
Arc_well_315A_formalin_r6c0_yes_A1_Good_S433_R1_001	1019059	779090	0.24	60	0.979	779090	60	0.23548096822657	formalin_315a	0.0034263420742775	Arc-well-formalin-315A
Arc_well_315A_formalin_r54c8_yes_C1_Good_S3897_R1_001	1958192	1491517	0.24	113	0.944	1491517	113	0.238319327216126	formalin_315a	0.00472349564427455	Arc-well-formalin-315A
Arc_well_315A_formalin_r37c12_yes_A2_ManualUseMultipleCells_S2677_R1_001	257507	204760	0.2	15	0.958	204760	15	0.204837150058057	formalin_315a	0.00810902118303223	Arc-well-formalin-315A
Arc_well_315A_formalin_r33c67_yes_D2_Good_S2444_R1_001	161688	128459	0.21	9	0.855	128459	9	0.205513086932858	formalin_315a	0.0388093270210342	Arc-well-formalin-315A
Arc_well_315A_formalin_r25c0_yes_C1_Good_S1801_R1_001	800985	622188	0.22	48	1	622188	48	0.223221408640611	formalin_315a	0.00272444476607779	Arc-well-formalin-315A
Arc_well_315A_formalin_r53c21_yes_B1_Good_S3838_R1_001	1385485	1083805	0.22	83	0.995	1083805	83	0.217743245145202	formalin_315a	0.00423558357580619	Arc-well-formalin-315A
Arc_well_315A_formalin_r54c26_yes_C1_Good_S3915_R1_001	3596695	2679566	0.25	219	0.824	2679566	219	0.254992152517798	formalin_315a	0.0106531404281219	Arc-well-formalin-315A
Arc_well_315A_formalin_r68c12_yes_D2_ManualUseClusterLowConfidence_S4909_R1_001	368795	294165	0.2	21	0.858	294165	21	0.202361745685272	formalin_315a	0.0234712177108912	Arc-well-formalin-315A
Arc_well_315A_formalin_r21c50_yes_C2_Good_S1563_R1_001	320526	248229	0.23	18	0.96	248229	18	0.225557365081148	formalin_315a	0.0158437231647628	Arc-well-formalin-315A
