"chrom","chrompos","abspos"
1,977836,977836
1,1200863,1200863
1,1455238,1455238
1,1758057,1758057
1,1989903,1989903
1,2211810,2211810
1,2422701,2422701
1,2734371,2734371
1,2941981,2941981
1,3146714,3146714
1,3353563,3353563
1,3562166,3562166
1,4151407,4151407
1,4372509,4372509
1,4582450,4582450
1,4793866,4793866
1,5009810,5009810
1,5227840,5227840
1,5438636,5438636
1,5646411,5646411
1,5862661,5862661
1,6073586,6073586
1,6292612,6292612
1,6528721,6528721
1,6759914,6759914
1,6983038,6983038
1,7194330,7194330
1,7407624,7407624
1,7622684,7622684
1,7841261,7841261
1,8072429,8072429
1,8306737,8306737
1,8531463,8531463
1,8759016,8759016
1,8997862,8997862
1,9234462,9234462
1,9453050,9453050
1,9694967,9694967
1,9934063,9934063
1,10187901,10187901
1,10425795,10425795
1,10661527,10661527
1,10868840,10868840
1,11100663,11100663
1,11338928,11338928
1,11563058,11563058
1,11784384,11784384
1,12015125,12015125
1,12246874,12246874
1,12470856,12470856
1,14004078,14004078
1,14220485,14220485
1,14436689,14436689
1,14650806,14650806
1,14874338,14874338
1,15086149,15086149
1,15303907,15303907
1,15522386,15522386
1,15743199,15743199
1,15983258,15983258
1,16228899,16228899
1,16460784,16460784
1,17435204,17435204
1,17653172,17653172
1,17893939,17893939
1,18103598,18103598
1,18314265,18314265
1,18522876,18522876
1,18728472,18728472
1,18942363,18942363
1,19153082,19153082
1,19364893,19364893
1,19577978,19577978
1,19799076,19799076
1,20033345,20033345
1,20257154,20257154
1,20488279,20488279
1,20698262,20698262
1,20917170,20917170
1,21148242,21148242
1,21369933,21369933
1,21605607,21605607
1,21868789,21868789
1,22087682,22087682
1,22345439,22345439
1,22569196,22569196
1,22783256,22783256
1,22991329,22991329
1,23202359,23202359
1,23426968,23426968
1,23658163,23658163
1,23890000,23890000
1,24465938,24465938
1,24687365,24687365
1,24907898,24907898
1,25150126,25150126
1,25362352,25362352
1,25586166,25586166
1,25901634,25901634
1,26121896,26121896
1,26348659,26348659
1,26579689,26579689
1,26814478,26814478
1,27061301,27061301
1,27301852,27301852
1,27549666,27549666
1,27785218,27785218
1,28012250,28012250
1,28257751,28257751
1,28491044,28491044
1,28744702,28744702
1,29006012,29006012
1,29251998,29251998
1,29489651,29489651
1,30073161,30073161
1,30286126,30286126
1,30495854,30495854
1,30708252,30708252
1,30924456,30924456
1,31149501,31149501
1,31359927,31359927
1,31591440,31591440
1,31831889,31831889
1,32061570,32061570
1,32267226,32267226
1,32506448,32506448
1,32747342,32747342
1,32991710,32991710
1,33243238,33243238
1,33475350,33475350
1,33705953,33705953
1,33920794,33920794
1,34130569,34130569
1,34347191,34347191
1,34557317,34557317
1,34776309,34776309
1,34982441,34982441
1,35202042,35202042
1,35412762,35412762
1,35666358,35666358
1,35898825,35898825
1,36119947,36119947
1,36355144,36355144
1,36582759,36582759
1,36820287,36820287
1,37046021,37046021
1,37256208,37256208
1,37460901,37460901
1,37668727,37668727
1,37889989,37889989
1,38116762,38116762
1,38339643,38339643
