"gene" "pos"
"1" "A1BG" 11006
"2" "NAT2" 5928
"3" "ADA" 11183
"4" "CDH2" 10545
"5" "AKT3" 932
"6" "ZBTB11-AS1" 2434
"7" "MED6" 9334
"8" "NR2E3" 9699
"9" "NAALAD2" 7896
"10" "SNORD116-1" 9503
"11" "SNORD116-2" 9503
"12" "SNORD116-3" 9503
"13" "SNORD116-4" 9503
"14" "SNORD116-5" 9503
"15" "SNORD116-8" 9504
"16" "SNORD116-10" 9504
"17" "SNORD116-11" 9504
"18" "SNORD116-12" 9504
"19" "SNORD116-13" 9504
"20" "SNORD116-15" 9504
"21" "SNORD116-16" 9504
"22" "SNORD116-18" 9504
"23" "SNORD116-20" 9504
"24" "SNORD116-22" 9504
"25" "SNORD116-23" 9504
"26" "SNORD116-24" 9504
"27" "SNORD116-25" 9504
"28" "SNORD115-2" 9504
"29" "SNORD116-26" 9504
"30" "SNORD115-3" 9504
"31" "SNORD115-4" 9504
"32" "SNORD115-5" 9504
"33" "SNORD115-6" 9504
"34" "SNORD115-7" 9504
"35" "SNORD115-8" 9504
"36" "SNORD115-9" 9504
"37" "SNORD115-10" 9504
"38" "SNORD115-11" 9504
"39" "SNORD115-13" 9504
"40" "SNORD115-14" 9504
"41" "SNORD115-16" 9504
"42" "SNORD115-17" 9504
"43" "SNORD115-22" 9504
"44" "SNORD115-25" 9504
"45" "SNORD115-26" 9504
"46" "SNORD115-30" 9504
"47" "SNORD115-31" 9504
"48" "SNORD115-32" 9504
"49" "SNORD115-33" 9504
"50" "SNORD115-35" 9504
"51" "SNORD115-37" 9504
"52" "SNORD115-38" 9504
"53" "SNORD115-39" 9504
"54" "SNORD115-40" 9504
"55" "SNORD115-41" 9504
"56" "SNORD115-44" 9504
"57" "MIR675" 7539
"58" "SNORD116-28" 9504
"59" "SNORD116-29" 9504
"60" "SNORD115-48" 9504
"61" "SNORD115-24" 9504
"62" "SNORD115-27" 9504
"63" "SNORD115-28" 9504
"64" "SNORD115-45" 9504
"65" "SNORD115-47" 9504
"66" "DDTL" 11444
"67" "TLX1NB" 7386
"68" "NAALADL1" 7792
"69" "CDKN2B-AS1" 6590
"70" "SIGLEC14" 10980
"71" "ACOT8" 11188
"72" "ABI1" 7089
"73" "GNPDA1" 4312
"74" "MIMT1" 10999
"75" "KCNE3" 7829
"76" "ZBTB33" 12023
"77" "SNHG8" 3382
"78" "GS1-600G8.3" 11613
"79" "CDH3" 10048
"80" "TANK" 1623
"81" "HAVCR1P1" 10879
"82" "ZSCAN30" 10579
"83" "MCTS2P" 11124
"84" "SRA1" 4306
"85" "SNORD119" 11017
"86" "SNORD121A" 6644
"87" "SNORD19B" 2229
"88" "SNORD105B" 10824
"89" "SNORD123" 3748
"90" "UCKL1-AS1" 11270
"91" "SNORD127" 9219
"92" "SNORD126" 9109
"93" "SNORD11B" 1811
"94" "SNORD12B" 11203
"95" "SNORD111B" 10054
"96" "LIN28B-AS1" 4915
"97" "LINC00583" 6553
"98" "TMEM170B" 4537
"99" "FAM138E" 9829
"100" "SNORD58C" 10645
"101" "SCARNA27" 4522
"102" "SNORA84" 6770
"103" "SNORA36C" 1271
"104" "SNORA38B" 10383
"105" "SNORA70B" 1234
"106" "SNORA70C" 6879
"107" "SNORA11B" 9427
"108" "SNORA11C" 11765
"109" "HOTAIR" 8322
"110" "ZGLP1" 10825
"111" "FMR1-AS1" 12138
"112" "MIR298" 11247
"113" "MIR300" 9474
"114" "VTRNA2-1" 4286
"115" "MIR450B" 12085
"116" "MIR890" 12129
"117" "MIR891B" 12129
"118" "MIR888" 12129
"119" "MIR892B" 12129
"120" "MIR541" 9474
"121" "MIR875" 6283
"122" "MIR876" 6621
"123" "MIR147B" 9580
"124" "MIR744" 10189
"125" "MIR665" 9473
"126" "MIR873" 6621
"127" "MIR374B" 11845
"128" "MIR216B" 1210
"129" "MIR920" 8205
"130" "MIR922" 2866
"131" "MIR934" 12092
"132" "MIR935" 10989
"133" "MIR936" 7399
"134" "MIR938" 7102
"135" "MIR940" 9838
"136" "MIR941-1" 11270
"137" "MIR942" 503
"138" "MIR943" 2875
"139" "MIR708" 7851
"140" "MIR885" 2039
"141" "MIR543" 9474
"142" "MIR208B" 9122
"143" "MIR937" 6487
"144" "MIR944" 2831
"145" "MIR891A" 12130
"146" "MIR892A" 12129
"147" "MIR874" 4293
"148" "MIR889" 9474
"149" "MIR190B" 537
"150" "MIR760" 402
"151" "MIR921" 588
"152" "MIR933" 1687
"153" "MIR939" 6488
"154" "MIR941-3" 11270
"155" "MIR365A" 9891
"156" "MIR365B" 10239
"157" "SNAR-G1" 10969
"158" "SNAR-F" 10975
"159" "LOC100126784" 7616
"160" "EGOT" 2013
"161" "GHRLOS" 2038
"162" "SNAR-A1" 10964
"163" "SNAR-A12" 10964
"164" "MINAR2" 4257
"165" "SLCO4A1-AS1" 11265
